Karma,score,author
237,0,Nnarol
6421,0,JM-Lemmi
1246,1,cresnap
17736,0,Staerke
1,1,Red_rum_mur_deR
1,0,NadellaIsMyDaddy
5,0,OutragedTux
4160,1,SeDve
212,0,frackeverything
626,0,Hydroel
1,0,nan
6409,0,mathiasfriman
946,0,fiddle_n
2566,0,scarystuff
25167,0,poomethazine
10708,0,SendMindfucks
14156,0,Auno94
14156,0,Auno94
14156,0,Auno94
14156,0,Auno94
14455,0,TheAnonymouseJoker
4875,0,Battalist
10864,0,lord-carlos
1,0,NadellaIsMyDaddy
1327,0,Zowlyfon
856,0,rcentros
6411,0,BLucky_RD
13978,0,BashirManit
1,0,nan
1,0,nan
10924,0,jessaay
17,0,GreedyNovel
4984,1,MrPin
752,0,marriage_iguana
923,0,fortean
3958,0,hearwa
752,0,marriage_iguana
5,0,OutragedTux
25167,0,poomethazine
5,0,OutragedTux
461,0,CUN_009
281,0,saivert
33600,1,Zeroamer
4160,1,SeDve
13978,0,BashirManit
5,0,OutragedTux
1,0,NadellaIsMyDaddy
221,0,yesdaniel
1,0,NadellaIsMyDaddy
30743,0,lannisterstark
2566,0,scarystuff
5211,0,the_spookiest_
183,0,kachunkachunk
6421,0,JM-Lemmi
61570,1,spdorsey
5830,1,EldestPort
461,1,Fuzzi99
144,0,Krelyshy
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
237,1,Nnarol
1,0,canadianyeet
183,0,kachunkachunk
461,0,cottonycloud
237,0,Nnarol
1246,0,cresnap
1,0,NadellaIsMyDaddy
1122,0,RA_lee
10864,1,lord-carlos
1,0,NadellaIsMyDaddy
1327,0,Zowlyfon
856,1,rcentros
6411,0,BLucky_RD
6411,0,BLucky_RD
856,0,rcentros
1122,0,RA_lee
5,1,OutragedTux
5,1,OutragedTux
461,1,CUN_009
221,0,yesdaniel
5211,0,the_spookiest_
5211,1,the_spookiest_
61570,0,spdorsey
237,0,Nnarol
237,0,Nnarol
1,0,NadellaIsMyDaddy
237,0,Nnarol
1246,1,cresnap
10864,0,lord-carlos
1,0,NadellaIsMyDaddy
1327,0,Zowlyfon
6411,0,BLucky_RD
1122,0,RA_lee
5,0,OutragedTux
1,0,NadellaIsMyDaddy
1,0,NadellaIsMyDaddy
237,1,Nnarol
14156,0,Auno94
1,0,NadellaIsMyDaddy
414,1,Aggis15
26,0,lolephantastic
22,0,IceColdSonic302
26,0,lolephantastic
26,1,lolephantastic
26,1,lolephantastic
26,0,lolephantastic
414,0,Aggis15
414,0,Aggis15
22,0,IceColdSonic302
8470,0,Fantastic_Individual
26,1,lolephantastic
26,1,lolephantastic
26,1,lolephantastic
414,0,Aggis15
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
26,0,lolephantastic
16,0,mrtacos2
1,0,nan
16597,0,Kerbalawesomebuilder
15,0,Karithememelord
3,0,Lonttu
1044,0,unfedbro
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
12169,0,FloatingMilkshake
22923,1,Froggypwns
1118,1,JoinMyFramily0118999
11306,0,Swaggy_McSwagSwag
391,0,Narpok19
1,0,nan
580,0,GSC1000
1915,0,King_Solomon_Doge
1,1,nan
3244,0,OctoNezd
10916,0,putnamto
3281,0,SLY95ZER
2,0,perky2012
1773,1,knightricer210
167,0,micmarkid
57538,0,Briz-TheKiller-
1512,1,SirWobbyTheFirst
1,0,nan
1,0,nan
6922,0,EmbarrassedActive4
9,0,effyezall
897,0,1968GTCS
8004,0,RjakActual
1118,0,JoinMyFramily0118999
8004,1,RjakActual
8004,1,RjakActual
22923,1,Froggypwns
107794,0,TheUnchainedZebra
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
11160,0,cbabbx
22923,0,Froggypwns
1118,0,JoinMyFramily0118999
171,0,NastyMunkey
18795,0,ExdigguserPies
7716,0,Wizardling
4814,1,brwtx
1118,0,JoinMyFramily0118999
60,0,joeyat
124,0,dafzor
30493,0,hennell
2301,0,ofNoImportance
391,0,Narpok19
229,1,celluj34
3281,0,SLY95ZER
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
8004,1,RjakActual
1118,1,JoinMyFramily0118999
11160,0,cbabbx
1118,0,JoinMyFramily0118999
6922,0,EmbarrassedActive4
6922,0,EmbarrassedActive4
8004,1,RjakActual
391,0,Narpok19
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
6421,0,JM-Lemmi
13575,0,Spyromaniac31
13575,0,Spyromaniac31
317,0,foofdawg
1541,0,tekkie1618
5121,0,Trax852
1,1,nan
1,0,nan
1,0,nan
1541,0,tekkie1618
4752,0,TheMuffnMan
1,0,nan
1,1,nan
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
4752,0,TheMuffnMan
4752,0,TheMuffnMan
5121,0,Trax852
4752,0,TheMuffnMan
4777,0,thefritob
14374,1,erikdaderp
58,0,PinkieToaster
10916,0,putnamto
30118,0,ThatOneDude_21
30118,1,ThatOneDude_21
6784,0,MicFury
145,0,sheng_jiang
1119,0,rophel
2520,0,Real_HaGiii
1,0,TreborG2
50,0,Rorahn
50,0,Rorahn
50,0,Rorahn
50,0,Rorahn
50,0,Rorahn
30118,0,ThatOneDude_21
58,0,PinkieToaster
988,0,Taco_Fries
30118,0,ThatOneDude_21
30118,0,ThatOneDude_21
50,0,Rorahn
50,0,Rorahn
50,0,Rorahn
50,0,Rorahn
58,0,PinkieToaster
30118,0,ThatOneDude_21
30118,0,ThatOneDude_21
50,0,Rorahn
